timestep=100, numTaskFinished=0
timestep=200, numTaskFinished=1
timestep=300, numTaskFinished=3
timestep=400, numTaskFinished=4
timestep=500, numTaskFinished=8
timestep=600, numTaskFinished=13
timestep=700, numTaskFinished=16
timestep=800, numTaskFinished=19
timestep=900, numTaskFinished=23
timestep=1000, numTaskFinished=27
timestep=1100, numTaskFinished=32
timestep=1200, numTaskFinished=35
timestep=1300, numTaskFinished=43
timestep=1400, numTaskFinished=50
timestep=1500, numTaskFinished=62
timestep=1600, numTaskFinished=68
timestep=1700, numTaskFinished=77
timestep=1800, numTaskFinished=88
timestep=1900, numTaskFinished=103
timestep=2000, numTaskFinished=112
timestep=2100, numTaskFinished=124
timestep=2200, numTaskFinished=130
timestep=2300, numTaskFinished=144
timestep=2400, numTaskFinished=155
timestep=2500, numTaskFinished=164
timestep=2600, numTaskFinished=177
timestep=2700, numTaskFinished=186
timestep=2800, numTaskFinished=190
timestep=2900, numTaskFinished=203
timestep=3000, numTaskFinished=207
timestep=3100, numTaskFinished=213
timestep=3200, numTaskFinished=218
timestep=3300, numTaskFinished=224
timestep=3400, numTaskFinished=229
timestep=3500, numTaskFinished=234
timestep=3600, numTaskFinished=236
timestep=3700, numTaskFinished=239
timestep=3800, numTaskFinished=242
timestep=3900, numTaskFinished=244
timestep=4000, numTaskFinished=246
timestep=4100, numTaskFinished=249
timestep=4200, numTaskFinished=250
timestep=4300, numTaskFinished=254
timestep=4400, numTaskFinished=254
timestep=4500, numTaskFinished=256
timestep=4600, numTaskFinished=258
timestep=4700, numTaskFinished=260
timestep=4800, numTaskFinished=262
timestep=4900, numTaskFinished=263
timestep=5000, numTaskFinished=263
timestep=5100, numTaskFinished=264
timestep=5200, numTaskFinished=265
timestep=5300, numTaskFinished=268
timestep=5400, numTaskFinished=268
timestep=5500, numTaskFinished=269
timestep=5600, numTaskFinished=270
timestep=5700, numTaskFinished=273
timestep=5800, numTaskFinished=274
timestep=5900, numTaskFinished=275
timestep=6000, numTaskFinished=277
timestep=6100, numTaskFinished=279
timestep=6200, numTaskFinished=282
timestep=6300, numTaskFinished=283
timestep=6400, numTaskFinished=284
timestep=6500, numTaskFinished=285
timestep=6600, numTaskFinished=287
timestep=6700, numTaskFinished=291
timestep=6800, numTaskFinished=292
timestep=6900, numTaskFinished=292
timestep=7000, numTaskFinished=293
timestep=7100, numTaskFinished=294
timestep=7200, numTaskFinished=296
timestep=7300, numTaskFinished=299
timestep=7400, numTaskFinished=300
timestep=7500, numTaskFinished=303
timestep=7600, numTaskFinished=307
timestep=7700, numTaskFinished=311
timestep=7800, numTaskFinished=313
timestep=7900, numTaskFinished=318
timestep=8000, numTaskFinished=319
timestep=8100, numTaskFinished=323
timestep=8200, numTaskFinished=324
timestep=8300, numTaskFinished=326
timestep=8400, numTaskFinished=330
timestep=8500, numTaskFinished=330
timestep=8600, numTaskFinished=334
timestep=8700, numTaskFinished=340
timestep=8800, numTaskFinished=343
timestep=8900, numTaskFinished=350
timestep=9000, numTaskFinished=355
timestep=9100, numTaskFinished=358
timestep=9200, numTaskFinished=361
timestep=9300, numTaskFinished=364
timestep=9400, numTaskFinished=366
timestep=9500, numTaskFinished=367
timestep=9600, numTaskFinished=369
timestep=9700, numTaskFinished=370
timestep=9800, numTaskFinished=374
timestep=9900, numTaskFinished=376
timestep=10000, numTaskFinished=381
