timestep=100, numTaskFinished=0
timestep=200, numTaskFinished=1
timestep=300, numTaskFinished=3
timestep=400, numTaskFinished=4
timestep=500, numTaskFinished=7
timestep=600, numTaskFinished=9
timestep=700, numTaskFinished=15
timestep=800, numTaskFinished=20
timestep=900, numTaskFinished=24
timestep=1000, numTaskFinished=27
timestep=1100, numTaskFinished=31
timestep=1200, numTaskFinished=34
timestep=1300, numTaskFinished=45
timestep=1400, numTaskFinished=52
timestep=1500, numTaskFinished=61
timestep=1600, numTaskFinished=70
timestep=1700, numTaskFinished=82
timestep=1800, numTaskFinished=90
timestep=1900, numTaskFinished=97
timestep=2000, numTaskFinished=111
timestep=2100, numTaskFinished=116
timestep=2200, numTaskFinished=132
timestep=2300, numTaskFinished=145
timestep=2400, numTaskFinished=150
timestep=2500, numTaskFinished=156
timestep=2600, numTaskFinished=168
timestep=2700, numTaskFinished=179
timestep=2800, numTaskFinished=192
timestep=2900, numTaskFinished=202
timestep=3000, numTaskFinished=208
timestep=3100, numTaskFinished=212
timestep=3200, numTaskFinished=221
timestep=3300, numTaskFinished=228
timestep=3400, numTaskFinished=233
timestep=3500, numTaskFinished=239
timestep=3600, numTaskFinished=242
timestep=3700, numTaskFinished=244
timestep=3800, numTaskFinished=245
timestep=3900, numTaskFinished=247
timestep=4000, numTaskFinished=250
timestep=4100, numTaskFinished=251
timestep=4200, numTaskFinished=255
timestep=4300, numTaskFinished=256
timestep=4400, numTaskFinished=256
timestep=4500, numTaskFinished=259
timestep=4600, numTaskFinished=260
timestep=4700, numTaskFinished=262
timestep=4800, numTaskFinished=263
timestep=4900, numTaskFinished=263
timestep=5000, numTaskFinished=264
timestep=5100, numTaskFinished=266
timestep=5200, numTaskFinished=269
timestep=5300, numTaskFinished=269
timestep=5400, numTaskFinished=270
timestep=5500, numTaskFinished=272
timestep=5600, numTaskFinished=274
timestep=5700, numTaskFinished=275
timestep=5800, numTaskFinished=277
timestep=5900, numTaskFinished=277
timestep=6000, numTaskFinished=282
timestep=6100, numTaskFinished=284
timestep=6200, numTaskFinished=286
timestep=6300, numTaskFinished=287
timestep=6400, numTaskFinished=291
timestep=6500, numTaskFinished=294
timestep=6600, numTaskFinished=295
timestep=6700, numTaskFinished=297
timestep=6800, numTaskFinished=301
timestep=6900, numTaskFinished=301
timestep=7000, numTaskFinished=301
timestep=7100, numTaskFinished=305
timestep=7200, numTaskFinished=309
timestep=7300, numTaskFinished=311
timestep=7400, numTaskFinished=312
timestep=7500, numTaskFinished=312
timestep=7600, numTaskFinished=315
timestep=7700, numTaskFinished=315
timestep=7800, numTaskFinished=317
timestep=7900, numTaskFinished=319
timestep=8000, numTaskFinished=320
timestep=8100, numTaskFinished=321
timestep=8200, numTaskFinished=324
timestep=8300, numTaskFinished=326
timestep=8400, numTaskFinished=330
timestep=8500, numTaskFinished=332
timestep=8600, numTaskFinished=334
timestep=8700, numTaskFinished=337
timestep=8800, numTaskFinished=341
timestep=8900, numTaskFinished=346
timestep=9000, numTaskFinished=349
timestep=9100, numTaskFinished=352
timestep=9200, numTaskFinished=355
timestep=9300, numTaskFinished=358
timestep=9400, numTaskFinished=362
timestep=9500, numTaskFinished=367
timestep=9600, numTaskFinished=370
timestep=9700, numTaskFinished=371
timestep=9800, numTaskFinished=371
timestep=9900, numTaskFinished=373
timestep=10000, numTaskFinished=375
