timestep=100, numTaskFinished=0
timestep=200, numTaskFinished=1
timestep=300, numTaskFinished=3
timestep=400, numTaskFinished=6
timestep=500, numTaskFinished=9
timestep=600, numTaskFinished=11
timestep=700, numTaskFinished=13
timestep=800, numTaskFinished=18
timestep=900, numTaskFinished=23
timestep=1000, numTaskFinished=29
timestep=1100, numTaskFinished=32
timestep=1200, numTaskFinished=44
timestep=1300, numTaskFinished=53
timestep=1400, numTaskFinished=62
timestep=1500, numTaskFinished=67
timestep=1600, numTaskFinished=73
timestep=1700, numTaskFinished=76
timestep=1800, numTaskFinished=83
timestep=1900, numTaskFinished=92
timestep=2000, numTaskFinished=97
timestep=2100, numTaskFinished=104
timestep=2200, numTaskFinished=114
timestep=2300, numTaskFinished=119
timestep=2400, numTaskFinished=127
timestep=2500, numTaskFinished=135
timestep=2600, numTaskFinished=140
timestep=2700, numTaskFinished=148
timestep=2800, numTaskFinished=153
timestep=2900, numTaskFinished=162
timestep=3000, numTaskFinished=167
timestep=3100, numTaskFinished=172
timestep=3200, numTaskFinished=176
timestep=3300, numTaskFinished=183
timestep=3400, numTaskFinished=186
timestep=3500, numTaskFinished=196
timestep=3600, numTaskFinished=199
timestep=3700, numTaskFinished=207
timestep=3800, numTaskFinished=211
timestep=3900, numTaskFinished=220
timestep=4000, numTaskFinished=226
timestep=4100, numTaskFinished=236
timestep=4200, numTaskFinished=236
timestep=4300, numTaskFinished=243
timestep=4400, numTaskFinished=252
timestep=4500, numTaskFinished=256
timestep=4600, numTaskFinished=262
timestep=4700, numTaskFinished=271
timestep=4800, numTaskFinished=279
timestep=4900, numTaskFinished=285
timestep=5000, numTaskFinished=290
timestep=5100, numTaskFinished=296
timestep=5200, numTaskFinished=308
timestep=5300, numTaskFinished=311
timestep=5400, numTaskFinished=320
timestep=5500, numTaskFinished=326
timestep=5600, numTaskFinished=329
timestep=5700, numTaskFinished=332
timestep=5800, numTaskFinished=337
timestep=5900, numTaskFinished=343
timestep=6000, numTaskFinished=352
timestep=6100, numTaskFinished=358
timestep=6200, numTaskFinished=366
timestep=6300, numTaskFinished=372
timestep=6400, numTaskFinished=378
timestep=6500, numTaskFinished=386
timestep=6600, numTaskFinished=389
timestep=6700, numTaskFinished=394
timestep=6800, numTaskFinished=400
timestep=6900, numTaskFinished=403
timestep=7000, numTaskFinished=406
timestep=7100, numTaskFinished=410
timestep=7200, numTaskFinished=413
timestep=7300, numTaskFinished=419
timestep=7400, numTaskFinished=422
timestep=7500, numTaskFinished=423
timestep=7600, numTaskFinished=427
timestep=7700, numTaskFinished=432
timestep=7800, numTaskFinished=437
timestep=7900, numTaskFinished=440
timestep=8000, numTaskFinished=444
timestep=8100, numTaskFinished=445
timestep=8200, numTaskFinished=446
timestep=8300, numTaskFinished=449
timestep=8400, numTaskFinished=453
timestep=8500, numTaskFinished=457
timestep=8600, numTaskFinished=461
timestep=8700, numTaskFinished=466
timestep=8800, numTaskFinished=472
timestep=8900, numTaskFinished=475
timestep=9000, numTaskFinished=475
timestep=9100, numTaskFinished=476
timestep=9200, numTaskFinished=476
timestep=9300, numTaskFinished=477
timestep=9400, numTaskFinished=478
timestep=9500, numTaskFinished=482
timestep=9600, numTaskFinished=484
timestep=9700, numTaskFinished=486
timestep=9800, numTaskFinished=487
timestep=9900, numTaskFinished=489
timestep=10000, numTaskFinished=491
