timestep=100, numTaskFinished=0
timestep=200, numTaskFinished=1
timestep=300, numTaskFinished=3
timestep=400, numTaskFinished=6
timestep=500, numTaskFinished=9
timestep=600, numTaskFinished=9
timestep=700, numTaskFinished=11
timestep=800, numTaskFinished=13
timestep=900, numTaskFinished=21
timestep=1000, numTaskFinished=23
timestep=1100, numTaskFinished=28
timestep=1200, numTaskFinished=35
timestep=1300, numTaskFinished=43
timestep=1400, numTaskFinished=48
timestep=1500, numTaskFinished=55
timestep=1600, numTaskFinished=60
timestep=1700, numTaskFinished=62
timestep=1800, numTaskFinished=72
timestep=1900, numTaskFinished=75
timestep=2000, numTaskFinished=79
timestep=2100, numTaskFinished=88
timestep=2200, numTaskFinished=95
timestep=2300, numTaskFinished=101
timestep=2400, numTaskFinished=106
timestep=2500, numTaskFinished=116
timestep=2600, numTaskFinished=120
timestep=2700, numTaskFinished=128
timestep=2800, numTaskFinished=131
timestep=2900, numTaskFinished=137
timestep=3000, numTaskFinished=146
timestep=3100, numTaskFinished=149
timestep=3200, numTaskFinished=152
timestep=3300, numTaskFinished=158
timestep=3400, numTaskFinished=164
timestep=3500, numTaskFinished=175
timestep=3600, numTaskFinished=180
timestep=3700, numTaskFinished=188
timestep=3800, numTaskFinished=191
timestep=3900, numTaskFinished=202
timestep=4000, numTaskFinished=209
timestep=4100, numTaskFinished=216
timestep=4200, numTaskFinished=223
timestep=4300, numTaskFinished=226
timestep=4400, numTaskFinished=233
timestep=4500, numTaskFinished=244
timestep=4600, numTaskFinished=247
timestep=4700, numTaskFinished=256
timestep=4800, numTaskFinished=260
timestep=4900, numTaskFinished=264
timestep=5000, numTaskFinished=274
timestep=5100, numTaskFinished=285
timestep=5200, numTaskFinished=300
timestep=5300, numTaskFinished=303
timestep=5400, numTaskFinished=311
timestep=5500, numTaskFinished=319
timestep=5600, numTaskFinished=322
timestep=5700, numTaskFinished=331
timestep=5800, numTaskFinished=344
timestep=5900, numTaskFinished=348
timestep=6000, numTaskFinished=356
timestep=6100, numTaskFinished=361
timestep=6200, numTaskFinished=366
timestep=6300, numTaskFinished=370
timestep=6400, numTaskFinished=381
timestep=6500, numTaskFinished=390
timestep=6600, numTaskFinished=392
timestep=6700, numTaskFinished=399
timestep=6800, numTaskFinished=406
timestep=6900, numTaskFinished=416
timestep=7000, numTaskFinished=420
timestep=7100, numTaskFinished=424
timestep=7200, numTaskFinished=428
timestep=7300, numTaskFinished=433
timestep=7400, numTaskFinished=438
timestep=7500, numTaskFinished=444
timestep=7600, numTaskFinished=449
timestep=7700, numTaskFinished=451
timestep=7800, numTaskFinished=452
timestep=7900, numTaskFinished=455
timestep=8000, numTaskFinished=460
timestep=8100, numTaskFinished=463
timestep=8200, numTaskFinished=468
timestep=8300, numTaskFinished=472
timestep=8400, numTaskFinished=472
timestep=8500, numTaskFinished=474
timestep=8600, numTaskFinished=480
timestep=8700, numTaskFinished=482
timestep=8800, numTaskFinished=484
timestep=8900, numTaskFinished=485
timestep=9000, numTaskFinished=485
timestep=9100, numTaskFinished=488
timestep=9200, numTaskFinished=493
timestep=9300, numTaskFinished=494
timestep=9400, numTaskFinished=495
timestep=9500, numTaskFinished=495
timestep=9600, numTaskFinished=497
timestep=9700, numTaskFinished=499
timestep=9800, numTaskFinished=499
timestep=9900, numTaskFinished=500
timestep=10000, numTaskFinished=500
